iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1563000.0,tonnes,annual,2023-10-03 21:10:38.599214,
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,1563000.0,tonnes,annual,2023-10-03 21:10:38.599222,
ABW,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.599206,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.599732,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,126000.0,tonnes,annual,2023-10-03 21:10:38.599719,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,126000.0,tonnes,annual,2023-10-03 21:10:38.599749,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,126000.0,tonnes,annual,2023-10-03 21:10:38.599757,
AFG,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.599741,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.600263,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,129000.0,tonnes,annual,2023-10-03 21:10:38.600251,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,129000.0,tonnes,annual,2023-10-03 21:10:38.60028,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,129000.0,tonnes,annual,2023-10-03 21:10:38.600287,
AFG,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.600271,
AFG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.600791,
AFG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,149000.0,tonnes,annual,2023-10-03 21:10:38.60078,
AFG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,149000.0,tonnes,annual,2023-10-03 21:10:38.600809,
AFG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,149000.0,tonnes,annual,2023-10-03 21:10:38.600816,
AFG,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.6008,
AFG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.601308,
AFG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,168000.0,tonnes,annual,2023-10-03 21:10:38.601296,
AFG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,168000.0,tonnes,annual,2023-10-03 21:10:38.601334,
AFG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,168000.0,tonnes,annual,2023-10-03 21:10:38.601342,
AFG,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.601316,
AFG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.601843,
AFG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,152000.0,tonnes,annual,2023-10-03 21:10:38.60183,
AFG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,152000.0,tonnes,annual,2023-10-03 21:10:38.601859,
AFG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,152000.0,tonnes,annual,2023-10-03 21:10:38.601867,
AFG,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.601851,
AFG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.602476,
AFG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,103000.0,tonnes,annual,2023-10-03 21:10:38.602461,
AFG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,103000.0,tonnes,annual,2023-10-03 21:10:38.602493,
AFG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,103000.0,tonnes,annual,2023-10-03 21:10:38.6025,
AFG,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.602484,
AFG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.603048,
AFG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,110000.0,tonnes,annual,2023-10-03 21:10:38.603033,
AFG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,110000.0,tonnes,annual,2023-10-03 21:10:38.603065,
AFG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,110000.0,tonnes,annual,2023-10-03 21:10:38.603073,
AFG,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.603057,
AFG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.603913,
AFG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,110000.0,tonnes,annual,2023-10-03 21:10:38.603895,
AFG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,110000.0,tonnes,annual,2023-10-03 21:10:38.60393,
AFG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,110000.0,tonnes,annual,2023-10-03 21:10:38.603938,
AFG,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.603922,
AGO,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.604471,
AGO,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,5468000.0,tonnes,annual,2023-10-03 21:10:38.604459,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,5468000.0,tonnes,annual,2023-10-03 21:10:38.604488,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,5468000.0,tonnes,annual,2023-10-03 21:10:38.604495,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.60448,
AGO,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.604997,
AGO,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,5605000.0,tonnes,annual,2023-10-03 21:10:38.604985,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,5605000.0,tonnes,annual,2023-10-03 21:10:38.605013,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,5605000.0,tonnes,annual,2023-10-03 21:10:38.605021,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.605005,
AGO,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.605528,
AGO,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,1796000.0,tonnes,annual,2023-10-03 21:10:38.605515,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1796000.0,tonnes,annual,2023-10-03 21:10:38.605545,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,1796000.0,tonnes,annual,2023-10-03 21:10:38.605553,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.605536,
AGO,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.606057,
AGO,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,1735000.0,tonnes,annual,2023-10-03 21:10:38.606045,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1735000.0,tonnes,annual,2023-10-03 21:10:38.606074,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,1735000.0,tonnes,annual,2023-10-03 21:10:38.606081,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.606066,
AGO,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.606581,
AGO,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,2562000.0,tonnes,annual,2023-10-03 21:10:38.606569,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2562000.0,tonnes,annual,2023-10-03 21:10:38.606598,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,2562000.0,tonnes,annual,2023-10-03 21:10:38.606605,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.60659,
AGO,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.607105,
AGO,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,2634000.0,tonnes,annual,2023-10-03 21:10:38.607093,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2634000.0,tonnes,annual,2023-10-03 21:10:38.607121,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,2634000.0,tonnes,annual,2023-10-03 21:10:38.607129,2023-10-31 20:30:11.725672
AGO,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-03 21:10:38.607113,
AGO,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-03 21:10:38.607636,
